q1,q2,q3,q4,q5
b,d,c,a,b
b,d,c,d,b
b,d,c,d,b
b,c,c,d,c
b,d,d,d,c
b,d,a,NA,NA
b,d,c,d,a
b,c,c,d,c
b,d,d,d,b
d,d,c,a,d
b,d,c,d,b
b,NA,c,NA,c
b,d,c,NA,c
b,d,c,d,b
b,d,c,d,b
b,d,c,d,c
b,d,c,NA,c
b,d,c,d,c
b,d,c,a,a
b,d,c,d,b
b,b,c,d,a
b,d,c,c,c
b,d,c,a,c
a,d,c,a,c
b,d,c,a,c
b,c,c,d,c
d,c,c,a,c
b,d,c,d,b
b,c,c,d,b
b,b,c,c,b
b,d,NA,d,a
b,b,c,a,c
b,b,c,c,a
b,c,c,d,a
b,d,c,d,a
b,c,c,d,a
b,b,NA,d,b
b,d,NA,d,a
b,b,c,d,a
b,c,c,d,c
b,b,c,a,b
b,d,c,a,c
b,c,c,d,a
b,d,c,d,c
a,c,c,d,b
b,d,c,d,b
b,d,d,a,b
b,d,c,a,b
